IBGE,IBGE6,CIDADE,ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,MACRORREGIAO,PARTIDO PREFEITOS,POSTOS,mae_s_instru,mae_inst_1_8_anos,mae_inst_8_11_anos,mae_inst_12m_anos,pop_urb(%)
4301404.0,430140.0,ARVOREZINHA,2014,101.960784313725,77.4509803921569,95.0980392156863,86.2745098039216,85.2941176470588,57.843137254902,77.4509803921569,0.694,0.713,0.575,0.817,269.310,39202.88,38.33,10322,Norte,,4,,56,40,13,66.8
4301503.0,430150.0,AUGUSTO PESTANA,2014,78.2608695652174,63.0434782608696,60.8695652173913,63.0434782608696,60.8695652173913,65.2173913043478,63.0434782608696,0.743,0.779,0.621,0.847,348.219,49054,20.53,7149,Missioneira,,2,,18,26,18,57.1
4301552.0,430155.0,ÁUREA,2014,110.0,90.0,100.0,103.333333333333,100.0,93.3333333333333,90.0,0.707,0.715,0.588,0.841,156.727,52342.65,21.67,3396,Norte,,,,,,,52.1
4301602.0,430160.0,BAGÉ,2014,116.434010152284,78.5532994923858,78.8705583756345,79.4416243654822,77.9822335025381,73.5406091370558,78.6167512690355,0.74,0.739,0.647,0.848,4090.360,37432.95,28.83,117938,Sul,,26,,294,973,322,97.4
4301636.0,430163.0,BALNEÁRIO PINHAL,2014,140.366972477064,164.220183486239,115.596330275229,158.715596330275,151.376146788991,174.311926605505,164.220183486239,0.696,0.71,0.567,0.836,102.387,22276.77,146.06,14955,Metropolitana,,3,,44,83,,99.1
4301651.0,430165.0,BARÃO,2014,151.785714285714,123.214285714286,130.357142857143,123.214285714286,123.214285714286,123.214285714286,123.214285714286,0.748,0.767,0.652,0.836,122.567,71646.97,51.79,6461,Metropolitana,,3,,12,45,7,64.5
4301701.0,430170.0,BARÃO DE COTEGIPE,2014,95.6521739130435,92.7536231884058,88.4057971014493,88.4057971014493,92.7536231884058,94.2028985507246,92.7536231884058,0.719,0.745,0.593,0.842,260.505,45460.37,27.42,7144,Norte,,2,,18,36,13,73.7
4301750.0,430175.0,BARÃO DO TRIUNFO,2014,110.769230769231,113.846153846154,126.153846153846,130.769230769231,115.384615384615,113.846153846154,113.846153846154,0.61,0.645,0.428,0.821,436.101,24188.7,13.50,5889,Metropolitana,,1,,29,32,,14.1
4301800.0,430180.0,BARRACÃO,2014,135.555555555556,128.888888888889,155.555555555556,168.888888888889,140.0,126.666666666667,128.888888888889,0.71,0.711,0.568,0.885,515.469,62102,9.37,4831,Norte,,2,,17,22,,64.0
4301859.0,430185.0,BARRA DO GUARITA,2014,88.8888888888889,84.4444444444444,64.4444444444444,68.8888888888889,82.2222222222222,68.8888888888889,84.4444444444444,0.734,0.696,0.672,0.845,62.801,19953.25,50.33,3161,Norte,,1,,,22,,63.6
4301875.0,430187.0,BARRA DO QUARAÍ,2014,23.3333333333333,116.666666666667,123.333333333333,130.0,106.666666666667,136.666666666667,116.666666666667,0.662,0.659,0.548,0.802,1055.937,78422.54,4.02,4241,Centro-Oeste,,2,,12,22,,75.1
4301909.0,430190.0,BARRA DO RIBEIRO,2014,68.75,101.5625,103.90625,100.78125,94.53125,109.375,101.5625,0.67,0.691,0.529,0.822,729.316,47529.99,16.76,12225,Metropolitana,,3,,27,64,19,76.7
4301925.0,430192.0,BARRA DO RIO AZUL,2014,60.0,73.3333333333333,80.0,80.0,66.6666666666667,73.3333333333333,73.3333333333333,0.723,0.703,0.638,0.842,146.995,46327.23,11.54,1696,Norte,,1,,,7,,27.4
4301958.0,430195.0,BARRA FUNDA,2014,115.151515151515,66.6666666666667,96.969696969697,87.8787878787879,66.6666666666667,66.6666666666667,66.6666666666667,0.763,0.731,0.71,0.856,60.437,67006.24,41.33,2498,Norte,,1,,,21,,72.1
4302006.0,430200.0,BARROS CASSAL,2014,95.9349593495935,100.813008130081,93.4959349593496,101.626016260163,100.0,97.5609756097561,100.813008130081,0.65,0.69,0.5,0.795,647.994,29526.03,14.35,9296,Norte,,3,,54,41,14,44.3
4302055.0,430205.0,BENJAMIN CONSTANT DO SUL,2014,141.666666666667,125.0,133.333333333333,108.333333333333,112.5,120.833333333333,125.0,0.619,0.601,0.492,0.801,132.351,24008.87,15.73,2082,Norte,,2,,19,,,22.6
4302105.0,430210.0,BENTO GONÇALVES,2014,123.115220483642,111.308677098151,112.517780938834,114.153627311522,108.961593172119,107.894736842105,111.379800853485,0.778,0.805,0.695,0.842,272.287,73589.32,452.28,123151,Serra,,13,,271,846,496,95.1
4302154.0,430215.0,BOA VISTA DAS MISSÕES,2014,100.0,66.6666666666667,62.5,58.3333333333333,62.5,70.8333333333333,66.6666666666667,0.676,0.666,0.561,0.825,196.064,89601.64,9.86,1933,Norte,,1,,8,13,,62.5
4302204.0,430220.0,BOA VISTA DO BURICÁ,2014,78.125,104.6875,101.5625,106.25,103.125,106.25,104.6875,0.762,0.761,0.697,0.834,109.541,50904.66,63.59,6966,Missioneira,,3,,6,48,16,70.8
4302220.0,430222.0,BOA VISTA DO CADEADO,2014,157.142857142857,371.428571428571,385.714285714286,414.285714285714,400.0,371.428571428571,371.428571428571,0.703,0.692,0.59,0.851,701.221,121126.48,3.18,2229,Missioneira,,2,,,,,28.4
4302238.0,430223.0,BOA VISTA DO INCRA,2014,88.5714285714286,108.571428571429,114.285714285714,114.285714285714,102.857142857143,111.428571428571,108.571428571429,0.731,0.703,0.641,0.867,504.114,86745.26,4.50,2271,Missioneira,,1,,,,,41.4
4302253.0,430225.0,BOA VISTA DO SUL,2014,252.941176470588,211.764705882353,194.117647058824,217.647058823529,170.588235294118,194.117647058824,211.764705882353,0.728,0.77,0.587,0.852,93.108,48546.88,29.44,2779,Serra,,,,4,17,,16.7
4302303.0,430230.0,BOM JESUS,2014,94.3396226415094,83.0188679245283,91.1949685534591,88.6792452830189,91.8238993710692,87.4213836477987,83.0188679245283,0.666,0.697,0.51,0.832,2622.837,52972.91,4.27,11202,Serra,,3,,59,56,16,78.9
4302352.0,430235.0,BOM PRINCÍPIO,2014,167.295597484277,121.383647798742,145.911949685535,126.415094339623,121.383647798742,118.867924528302,123.899371069182,0.746,0.751,0.661,0.836,90.023,72364.87,148.23,13142,Serra,,4,,26,105,32,83.8
4302378.0,430237.0,BOM PROGRESSO,2014,124.0,144.0,132.0,144.0,140.0,144.0,144.0,0.723,0.7,0.643,0.84,89.206,35111.31,23.50,2096,Norte,,2,,,27,,59.8
4302402.0,430240.0,BOM RETIRO DO SUL,2014,88.0,85.3333333333333,78.0,84.6666666666667,80.6666666666667,84.6666666666667,86.0,0.739,0.725,0.649,0.857,102.540,41461.26,119.89,12294,Vales,,1,,29,82,26,80.4
4302451.0,430245.0,BOQUEIRÃO DO LEÃO,2014,165.060240963855,196.385542168675,178.313253012048,184.33734939759,201.204819277108,204.819277108434,196.385542168675,0.7,0.725,0.562,0.843,257.789,31882.12,23.49,6247,Vales,,2,,48,26,,26.7
4302501.0,430250.0,BOSSOROCA,2014,78.6885245901639,91.8032786885246,86.8852459016394,100.0,86.8852459016394,85.2459016393443,91.8032786885246,0.692,0.665,0.608,0.821,1610.056,42538.23,3.66,5890,Missioneira,,4,,10,28,12,58.3
4302584.0,430258.0,BOZANO,2014,0.0,160.0,190.0,200.0,170.0,160.0,160.0,0.745,0.773,0.628,0.853,200.497,55520.54,10.73,2151,Missioneira,,1,,,,,37.1
4302600.0,430260.0,BRAGA,2014,129.62962962963,137.037037037037,159.259259259259,151.851851851852,148.148148148148,144.444444444444,137.037037037037,0.674,0.656,0.563,0.83,132.044,33487.97,24.75,3268,Norte,,2,,10,16,6,70.4
4302659.0,430265.0,BROCHIER,2014,124.242424242424,84.8484848484848,96.969696969697,84.8484848484848,81.8181818181818,84.8484848484848,181.818181818182,0.699,0.723,0.554,0.851,105.353,26634.21,47.14,4966,Metropolitana,,1,,10,,,49.7
4302709.0,430270.0,BUTIÁ,2014,146.818181818182,118.636363636364,125.909090909091,126.363636363636,105.0,121.363636363636,119.545454545455,0.689,0.691,0.558,0.848,752.187,29714.98,25.37,19084,Metropolitana,,5,,105,168,37,96.4
4302808.0,430280.0,CAÇAPAVA DO SUL,2014,105.113636363636,100.284090909091,95.1704545454545,97.7272727272727,100.852272727273,96.875,100.568181818182,0.704,0.699,0.585,0.855,3048.147,36161.85,10.67,32515,Vales,,7,,138,191,67,77.5
4302907.0,430290.0,CACEQUI,2014,34.6456692913386,99.2125984251968,94.488188976378,102.362204724409,97.6377952755905,97.6377952755905,99.2125984251968,0.7,0.68,0.626,0.807,2373.507,50804.25,4.70,11157,Centro-Oeste,,6,,34,57,13,80.3
4303004.0,430300.0,CACHOEIRA DO SUL,2014,106.006006006006,85.2852852852853,87.1871871871872,86.986986986987,88.3883883883884,84.8848848848849,89.6896896896897,0.742,0.739,0.648,0.854,3736.064,42103.62,21.43,80070,Vales,,8,,171,639,162,86.4
4303103.0,430310.0,CACHOEIRINHA,2014,114.782157676349,116.908713692946,125.726141078838,126.400414937759,117.686721991701,116.908713692946,117.686721991701,0.757,0.749,0.675,0.857,43.760,57110.95,3112.48,136258,Metropolitana,,13,,302,1389,387,100.0
4303202.0,430320.0,CACIQUE DOBLE,2014,16.9491525423729,91.5254237288136,98.3050847457627,98.3050847457627,94.9152542372881,98.3050847457627,91.5254237288136,0.662,0.677,0.528,0.81,203.582,33461.31,22.56,4603,Norte,,2,,28,25,11,37.2
4303301.0,430330.0,CAIBATÉ,2014,172.727272727273,159.090909090909,156.818181818182,186.363636363636,177.272727272727,165.909090909091,161.363636363636,0.719,0.709,0.611,0.857,261.280,38352.88,18.00,4704,Missioneira,,3,,18,26,12,65.9
4303400.0,430340.0,CAIÇARA,2014,52.0,66.0,58.0,64.0,66.0,66.0,66.0,0.699,0.721,0.58,0.817,189.071,33063.37,25.57,4836,Norte,,3,,10,14,5,44.0
4303509.0,430350.0,CAMAQUÃ,2014,98.8505747126437,87.4840357598978,56.066411238825,87.1008939974457,77.1392081736909,86.5900383141762,87.6117496807152,0.697,0.715,0.578,0.819,1679.242,50718.28,37.02,62200,Metropolitana,,2,7,215,513,123,81.3
4303558.0,430355.0,CAMARGO,2014,123.809523809524,85.7142857142857,114.285714285714,119.047619047619,95.2380952380952,85.7142857142857,85.7142857142857,0.736,0.762,0.612,0.854,138.069,205446,21.59,2981,Norte,,1,,,5,,61.7
4303608.0,430360.0,CAMBARÁ DO SUL,2014,65.5737704918033,98.3606557377049,81.9672131147541,119.672131147541,104.918032786885,86.8852459016394,98.3606557377049,0.697,0.705,0.574,0.838,1181.811,43284.42,5.38,6361,Metropolitana,,4,,25,32,8,72.9
4303673.0,430367.0,CAMPESTRE DA SERRA,2014,96.6666666666667,90.0,90.0,63.3333333333333,96.6666666666667,70.0,90.0,0.706,0.713,0.557,0.886,538.487,73041.98,6.02,3242,Serra,,,,6,16,,41.9
4303707.0,430370.0,CAMPINA DAS MISSÕES,2014,90.3846153846154,115.384615384615,84.6153846153846,100.0,113.461538461538,113.461538461538,115.384615384615,0.738,0.698,0.677,0.849,224.792,34643.22,26.17,5882,Missioneira,,2,,,35,9,45.1
4303806.0,430380.0,CAMPINAS DO SUL,2014,82.7586206896552,72.4137931034483,84.4827586206897,72.4137931034483,72.4137931034483,68.9655172413793,72.4137931034483,0.76,0.753,0.691,0.842,276.162,55805.19,19.13,5284,Norte,,2,,,23,,81.6
4303905.0,430390.0,CAMPO BOM,2014,100.93567251462,94.7368421052632,94.2690058479532,97.5438596491228,94.1520467836257,93.4502923976608,95.0877192982456,0.745,0.755,0.643,0.852,60.562,72015.35,1038.08,62886,Metropolitana,,13,,153,517,174,96.2
4304002.0,430400.0,CAMPO NOVO,2014,101.492537313433,100.0,113.432835820896,102.985074626866,100.0,92.5373134328358,100.0,0.703,0.677,0.593,0.866,220.719,57749.2,22.54,4975,Missioneira,,2,,29,44,15,80.5
4304101.0,430410.0,CAMPOS BORGES,2014,87.8048780487805,58.5365853658537,73.1707317073171,78.0487804878049,56.0975609756098,56.0975609756098,58.5365853658537,0.708,0.704,0.616,0.819,226.202,29067.3,15.97,3613,Norte,,1,,,20,6,61.2
4304200.0,430420.0,CANDELÁRIA,2014,94.8948948948949,94.8948948948949,101.201201201201,100.0,96.996996996997,90.990990990991,94.8948948948949,0.674,0.699,0.521,0.842,944.735,42713.51,30.60,28906,Vales,,4,,172,100,42,56.5
4304309.0,430430.0,CÂNDIDO GODÓI,2014,104.255319148936,97.8723404255319,106.382978723404,97.8723404255319,108.510638297872,104.255319148936,97.8723404255319,0.728,0.72,0.627,0.853,247.047,59583.99,25.48,6294,Missioneira,,2,,,37,14,35.7
4304358.0,430435.0,CANDIOTA,2014,19.4029850746269,41.7910447761194,36.5671641791045,47.7611940298507,50.0,94.0298507462687,41.7910447761194,0.698,0.704,0.562,0.86,933.628,158672.67,11.47,10710,Sul,,3,,38,77,18,77.9
4304408.0,430440.0,CANELA,2014,201.138211382114,149.756097560976,157.39837398374,158.373983739837,152.19512195122,151.219512195122,149.756097560976,0.748,0.738,0.667,0.849,253.002,40038.38,193.46,48946,Serra,,6,,141,424,111,96.9
4304507.0,430450.0,CANGUÇU,2014,84.8167539267016,72.6003490401396,88.6561954624782,86.7364746945899,71.2041884816754,38.3944153577661,73.6474694589878,0.65,0.683,0.491,0.819,3526.316,36745.73,14.09,49680,Sul,,5,,175,323,71,41.9
4304606.0,430460.0,CANOAS,2014,127.086553323029,97.0247295208655,96.6576506955178,95.0734157650696,93.4119010819165,95.9234930448223,99.4590417310665,0.75,0.768,0.636,0.864,130.774,83895.04,2658.15,347657,Metropolitana,,46,3,1214,2973,1097,100.0
4304614.0,430461.0,CANUDOS DO VALE,2014,100.0,93.75,87.5,93.75,81.25,93.75,93.75,0.713,0.751,0.574,0.84,82.943,40430.4,19.97,1656,Vales,,1,,,,,26.2
4304622.0,430462.0,CAPÃO BONITO DO SUL,2014,47.3684210526316,78.9473684210526,73.6842105263158,78.9473684210526,78.9473684210526,68.4210526315789,84.2105263157895,0.637,0.654,0.507,0.779,526.850,128719.49,3.29,1733,Norte,,2,,,,,23.7
4304630.0,430463.0,CAPÃO DA CANOA,2014,119.131614654003,97.6933514246947,102.306648575305,107.8697421981,84.5318860244233,98.7788331071913,98.5074626865672,0.743,0.756,0.637,0.852,98.383,40698.19,646.39,63594,Metropolitana,,4,,112,560,119,98.9
4304655.0,430465.0,CAPÃO DO CIPÓ,2014,63.3333333333333,180.0,150.0,166.666666666667,180.0,173.333333333333,180.0,0.672,0.639,0.552,0.86,1007.796,70575.7,3.09,3119,Centro-Oeste,,1,,,,,31.4
4304663.0,430466.0,CAPÃO DO LEÃO,2014,6.02006688963211,55.5183946488294,59.5317725752508,56.5217391304348,47.4916387959866,53.8461538461538,56.1872909698997,0.637,0.662,0.48,0.814,783.196,32243.04,33.82,26487,Sul,,,,197,156,25,94.1
4304671.0,430467.0,CAPIVARI DO SUL,2014,77.5510204081633,97.9591836734694,77.5510204081633,110.204081632653,71.4285714285714,75.5102040816327,97.9591836734694,0.766,0.805,0.668,0.836,412.889,100076.38,9.67,3991,Metropolitana,,1,,15,18,,87.3
4304689.0,430468.0,CAPELA DE SANTANA,2014,104.032258064516,74.1935483870968,100.806451612903,87.9032258064516,75.8064516129032,74.1935483870968,74.1935483870968,0.661,0.675,0.525,0.816,182.756,28313.22,61.06,11159,Metropolitana,,2,,49,72,9,69.7
4304697.0,430469.0,CAPITÃO,2014,91.8918918918919,67.5675675675676,83.7837837837838,72.972972972973,67.5675675675676,59.4594594594595,67.5675675675676,0.746,0.747,0.661,0.842,73.967,30321.42,39.49,2921,Vales,,1,,10,17,,44.9
4304705.0,430470.0,CARAZINHO,2014,174.271844660194,136.771844660194,141.140776699029,139.805825242718,139.927184466019,136.407766990291,139.077669902913,0.766,0.756,0.707,0.84,666.694,60594.24,92.70,61804,Norte,,13,,236,449,184,97.7
4304713.0,430471.0,CARAÁ,2014,0.0,175.0,177.5,160.0,150.0,177.5,175.0,0.652,0.661,0.505,0.83,294.606,21392.26,25.10,7394,Metropolitana,,2,,21,40,,27.8
4304804.0,430480.0,CARLOS BARBOSA,2014,114.96062992126,102.362204724409,101.574803149606,105.905511811024,105.11811023622,101.574803149606,102.362204724409,0.796,0.835,0.724,0.835,230.061,125413.55,132.23,30420,Serra,,3,,43,198,78,80.4
4304853.0,430485.0,CARLOS GOMES,2014,90.0,60.0,100.0,70.0,60.0,60.0,60.0,0.739,0.732,0.622,0.886,83.196,45281.03,16.45,1368,Norte,,1,,,5,,31.6
4304903.0,430490.0,CASCA,2014,51.3157894736842,36.8421052631579,50.0,53.9473684210526,46.0526315789474,69.7368421052632,36.8421052631579,0.785,0.778,0.733,0.847,272.041,92546.14,34.79,9465,Norte,,2,,,53,26,68.9
4304952.0,430495.0,CASEIROS,2014,231.578947368421,215.789473684211,252.631578947368,278.947368421053,210.526315789474,215.789473684211,215.789473684211,0.703,0.696,0.6,0.833,235.649,59052.73,12.72,3000,Norte,,,,11,20,,52.8
4305009.0,430500.0,CATUÍPE,2014,115.463917525773,115.463917525773,120.618556701031,113.40206185567,115.463917525773,117.525773195876,116.494845360825,0.739,0.763,0.627,0.842,583.180,49000,14.87,8674,Missioneira,,4,,25,44,22,70.5
4305108.0,430510.0,CAXIAS DO SUL,2014,108.315806503802,99.2881410774956,93.8521274874616,100.485358356253,101.100145607507,90.875262902443,101.051609771882,0.782,0.812,0.686,0.86,1652.320,81683.97,280.52,463501,Serra,,52,6,1742,2901,1754,96.5
4305116.0,430511.0,CENTENÁRIO,2014,230.769230769231,223.076923076923,253.846153846154,261.538461538462,238.461538461538,215.384615384615,223.076923076923,0.701,0.707,0.569,0.856,134.780,45215.19,20.27,2721,Norte,,1,,,20,,43.7
4305124.0,430512.0,CERRITO,2014,23.0769230769231,113.461538461538,111.538461538462,100.0,117.307692307692,88.4615384615385,113.461538461538,0.649,0.657,0.504,0.824,451.699,22583.64,12.86,5808,Sul,,1,,27,29,,62.0
4305132.0,430513.0,CERRO BRANCO,2014,105.555555555556,108.333333333333,102.777777777778,102.777777777778,105.555555555556,111.111111111111,108.333333333333,0.661,0.671,0.527,0.816,158.025,27411.89,24.06,3802,Vales,,2,,14,22,3,31.1
4305157.0,430515.0,CERRO GRANDE,2014,96.4285714285714,71.4285714285714,85.7142857142857,89.2857142857143,67.8571428571429,71.4285714285714,71.4285714285714,0.674,0.676,0.563,0.803,73.438,26035.36,32.39,2379,Norte,,2,,7,12,,48.7
4305173.0,430517.0,CERRO GRANDE DO SUL,2014,115.126050420168,116.806722689076,121.008403361345,117.647058823529,119.327731092437,114.285714285714,116.806722689076,0.66,0.673,0.499,0.855,324.908,27361.09,28.25,9178,Metropolitana,,3,,44,56,17,30.6
4305207.0,430520.0,CERRO LARGO,2014,128.695652173913,108.695652173913,137.391304347826,128.695652173913,117.391304347826,113.04347826087,108.695652173913,0.764,0.752,0.698,0.849,176.742,58884.12,77.59,13705,Missioneira,,4,,48,60,42,81.8
4305306.0,430530.0,CHAPADA,2014,86.25,81.25,88.75,86.25,83.75,82.5,81.25,0.757,0.752,0.679,0.849,684.247,63213.09,13.94,9540,Norte,,4,,9,43,14,67.2
4305355.0,430535.0,CHARQUEADAS,2014,114.080459770115,93.6781609195402,100.287356321839,99.4252873563218,96.2643678160919,93.6781609195402,95.9770114942529,0.747,0.726,0.659,0.87,217.362,53050.97,161.08,35012,Metropolitana,,16,,80,269,83,97.2
4305371.0,430537.0,CHARRUA,2014,75.5555555555556,75.5555555555556,73.3333333333333,80.0,75.5555555555556,77.7777777777778,75.5555555555556,0.62,0.699,0.385,0.885,198.748,45392.81,13.93,2768,Norte,,1,,21,11,,23.1
4305405.0,430540.0,CHIAPETTA,2014,88.6792452830189,100.0,84.9056603773585,109.433962264151,116.981132075472,101.88679245283,100.0,0.732,0.702,0.657,0.85,397.179,67903.94,9.85,3913,Missioneira,,2,,10,22,14,72.3
4305439.0,430543.0,CHUÍ,2014,90.2439024390244,126.829268292683,97.5609756097561,139.024390243902,136.585365853659,119.512195121951,126.829268292683,0.706,0.676,0.658,0.792,202.387,83417.38,30.94,6262,Sul,,,,20,29,,97.2
4305447.0,430544.0,CHUVISCA,2014,105.084745762712,103.389830508475,98.3050847457627,100.0,76.271186440678,93.2203389830509,103.389830508475,0.616,0.655,0.437,0.818,220.471,35548.18,20.85,4597,Metropolitana,,,,35,30,,7.3
4305454.0,430545.0,CIDREIRA,2014,11.8343195266272,47.3372781065089,76.3313609467456,74.5562130177515,57.9881656804734,86.9822485207101,48.5207100591716,0.729,0.73,0.625,0.848,243.419,23836.71,70.13,17071,Metropolitana,,3,,63,94,17,97.9
4305504.0,430550.0,CIRÍACO,2014,102.380952380952,83.3333333333333,88.0952380952381,83.3333333333333,78.5714285714286,83.3333333333333,83.3333333333333,0.719,0.724,0.6,0.855,274.350,56256.81,15.12,4149,Norte,,2,,,22,,61.5
4305587.0,430558.0,COLINAS,2014,88.4615384615385,76.9230769230769,92.3076923076923,80.7692307692308,92.3076923076923,76.9230769230769,76.9230769230769,0.765,0.786,0.678,0.84,60.732,37308.24,39.90,2423,Vales,,1,,,14,,45.1
4305603.0,430560.0,COLORADO,2014,72.972972972973,83.7837837837838,70.2702702702703,75.6756756756757,89.1891891891892,86.4864864864865,83.7837837837838,0.758,0.775,0.674,0.835,286.295,61073.45,11.38,3258,Missioneira,,3,,,11,,59.9
4305702.0,430570.0,CONDOR,2014,277.142857142857,217.142857142857,217.142857142857,225.714285714286,220.0,202.857142857143,217.142857142857,0.747,0.735,0.666,0.852,463.568,73461.12,13.82,6406,Missioneira,,3,,,16,18,71.9
4305801.0,430580.0,CONSTANTINA,2014,87.3949579831933,105.042016806723,105.042016806723,107.563025210084,110.924369747899,106.72268907563,105.042016806723,0.754,0.726,0.668,0.885,203.614,45442.93,51.00,10385,Norte,,3,,33,55,26,77.7
4305835.0,430583.0,COQUEIRO BAIXO,2014,71.4285714285714,42.8571428571429,50.0,50.0,57.1428571428571,57.1428571428571,42.8571428571429,0.692,0.703,0.532,0.886,112.638,43419.26,11.45,1290,Vales,,1,,,,,20.0
4305850.0,430585.0,COQUEIROS DO SUL,2014,19.2307692307692,46.1538461538462,23.0769230769231,30.7692307692308,46.1538461538462,38.4615384615385,46.1538461538462,0.746,0.806,0.614,0.84,277.147,62995.49,7.98,2211,Norte,,1,,,9,,43.9
4305871.0,430587.0,CORONEL BARROS,2014,131.034482758621,134.48275862069,124.137931034483,134.48275862069,134.48275862069,134.48275862069,134.48275862069,0.744,0.793,0.61,0.852,163.716,50693.68,17.24,2822,Missioneira,,1,,,15,,55.8
4305900.0,430590.0,CORONEL BICACO,2014,87.0,83.0,83.0,80.0,82.0,81.0,83.0,0.665,0.667,0.55,0.803,492.303,64631.38,12.48,6144,Norte,,3,,36,44,14,73.5
4305934.0,430593.0,CORONEL PILAR,2014,125.0,50.0,112.5,62.5,50.0,50.0,50.0,0.727,0.766,0.6,0.835,105.668,36187.34,15.21,1607,Serra,,,,,,,12.3
4305959.0,430595.0,COTIPORÃ,2014,129.166666666667,141.666666666667,137.5,166.666666666667,145.833333333333,133.333333333333,141.666666666667,0.741,0.767,0.636,0.835,173.207,53328.63,22.20,3846,Serra,,2,,,,,54.9
4305975.0,430597.0,COXILHA,2014,41.4634146341463,80.4878048780488,95.1219512195122,92.6829268292683,87.8048780487805,70.7317073170732,80.4878048780488,0.706,0.693,0.586,0.866,422.101,130995.01,6.32,2667,Norte,,1,,13,11,,66.4
4306007.0,430600.0,CRISSIUMAL,2014,120.289855072464,88.4057971014493,102.173913043478,107.246376811594,93.4782608695652,89.1304347826087,89.8550724637681,0.712,0.702,0.616,0.835,362.194,38853.05,35.58,12886,Missioneira,,5,,40,96,20,52.8
4306056.0,430605.0,CRISTAL,2014,19.047619047619,109.52380952381,104.761904761905,100.0,111.904761904762,107.142857142857,109.52380952381,0.644,0.687,0.471,0.826,679.742,41174.16,10.70,7299,Metropolitana,,,,44,41,9,69.8
4306072.0,430607.0,CRISTAL DO SUL,2014,90.9090909090909,90.9090909090909,96.969696969697,90.9090909090909,90.9090909090909,93.9393939393939,90.9090909090909,0.66,0.641,0.542,0.826,97.073,36696.5,27.73,2692,Norte,,1,,,15,,47.1
4306106.0,430610.0,CRUZ ALTA,2014,138.495092693566,114.285714285714,120.283533260632,117.230098146129,111.23227917121,115.594329334787,114.503816793893,0.75,0.754,0.653,0.858,1360.548,74684.47,43.30,58913,Missioneira,,19,,220,493,190,97.1
4306130.0,430613.0,CRUZALTENSE,2014,89.4736842105263,94.7368421052632,94.7368421052632,73.6842105263158,94.7368421052632,94.7368421052632,94.7368421052632,0.719,0.724,0.605,0.849,166.883,64186.8,9.80,1635,Norte,,1,,,,,29.5
4306205.0,430620.0,CRUZEIRO DO SUL,2014,98.9583333333333,105.208333333333,98.9583333333333,92.7083333333333,105.208333333333,103.125,105.208333333333,0.723,0.746,0.607,0.833,155.482,55774.4,74.81,11600,Vales,,3,,21,65,17,63.9
4306304.0,430630.0,DAVID CANABARRO,2014,24.0740740740741,9.25925925925926,20.3703703703704,9.25925925925926,9.25925925925926,12.962962962963,9.25925925925926,0.762,0.74,0.688,0.87,174.172,47877.71,24.73,4321,Norte,,2,,,16,,55.9
4306320.0,430632.0,DERRUBADAS,2014,55.8823529411765,67.6470588235294,64.7058823529412,67.6470588235294,70.5882352941177,64.7058823529412,67.6470588235294,0.707,0.664,0.628,0.846,360.851,42741.36,7.62,2751,Norte,,2,,3,13,3,43.1
4306353.0,430635.0,DEZESSEIS DE NOVEMBRO,2014,86.9565217391304,69.5652173913043,82.6086956521739,78.2608695652174,65.2173913043478,26.0869565217391,69.5652173913043,0.654,0.625,0.553,0.809,216.341,20507.28,11.53,2507,Missioneira,,1,,,14,,27.3
4306379.0,430637.0,DILERMANDO DE AGUIAR,2014,62.962962962963,122.222222222222,100.0,114.814814814815,92.5925925925926,114.814814814815,122.222222222222,0.648,0.681,0.463,0.864,600.518,72323.29,4.67,2806,Centro-Oeste,,1,,13,17,,38.1
4306403.0,430640.0,DOIS IRMÃOS,2014,96.9945355191257,84.1530054644809,88.7978142076503,90.983606557377,86.8852459016394,82.2404371584699,84.1530054644809,0.743,0.763,0.633,0.848,67.509,85952.76,464.49,30709,Metropolitana,,3,,83,198,67,98.6
4306429.0,430642.0,DOIS IRMÃOS DAS MISSÕES,2014,60.0,74.2857142857143,80.0,65.7142857142857,68.5714285714286,71.4285714285714,74.2857142857143,0.67,0.646,0.585,0.797,226.072,60170.61,9.24,2090,Norte,,1,,13,9,,54.1
4306452.0,430645.0,DOIS LAJEADOS,2014,89.6551724137931,65.5172413793103,79.3103448275862,75.8620689655172,65.5172413793103,68.9655172413793,65.5172413793103,0.757,0.775,0.67,0.837,133.535,53600.97,23.19,3097,Vales,,1,,,13,,53.5
4306502.0,430650.0,DOM FELICIANO,2014,105.960264900662,109.271523178808,113.245033112583,109.933774834437,111.258278145695,31.1258278145695,109.271523178808,0.587,0.633,0.39,0.818,1355.195,32041.92,9.63,13051,Metropolitana,,4,,77,74,11,27.3
4306551.0,430655.0,DOM PEDRO DE ALCÂNTARA,2014,113.333333333333,133.333333333333,133.333333333333,133.333333333333,93.3333333333333,106.666666666667,133.333333333333,0.691,0.697,0.577,0.82,78.216,32652.54,32.75,2562,Metropolitana,,2,,7,9,,42.7
4306601.0,430660.0,DOM PEDRITO,2014,151.559251559252,153.430353430353,154.677754677755,158.212058212058,147.817047817048,167.151767151767,153.430353430353,0.708,0.715,0.585,0.848,5194.051,61874.27,7.12,36981,Sul,,4,,159,264,41,91.0
