IBGE,IBGE6,CIDADE,ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,MACRORREGIAO,PARTIDO PREFEITOS,POSTOS,mae_s_instru,mae_inst_1_8_anos,mae_inst_8_11_anos,mae_inst_12m_anos,pop_urb(%)
4301206.0,430120.0,ARROIO DO TIGRE,2012,89.8550724637681,30.4347826086957,81.8840579710145,88.4057971014493,89.1304347826087,99.2753623188406,94.9275362318841,0.707,0.708,0.589,0.848,315.132,39205.45,38.26,12058,Vales,,3,,63,50,15,51.4
4301305.0,430130.0,ARROIO GRANDE,2012,51.2953367875648,38.3419689119171,87.5647668393782,94.8186528497409,95.3367875647668,87.5647668393782,99.4818652849741,0.657,0.673,0.522,0.807,2508.557,54989.64,7.00,17558,Sul,,,,91,90,23,88.0
4301404.0,430140.0,ARVOREZINHA,2012,107.216494845361,40.2061855670103,97.9381443298969,119.587628865979,119.587628865979,118.556701030928,116.494845360825,0.694,0.713,0.575,0.817,269.310,39202.88,38.33,10322,Norte,,2,,35,47,19,66.8
4301503.0,430150.0,AUGUSTO PESTANA,2012,54.4117647058824,16.1764705882353,64.7058823529412,69.1176470588235,77.9411764705882,95.5882352941177,72.0588235294118,0.743,0.779,0.621,0.847,348.219,49054,20.53,7149,Missioneira,,2,,13,24,9,57.1
4301552.0,430155.0,ÁUREA,2012,78.3783783783784,45.9459459459459,83.7837837837838,83.7837837837838,86.4864864864865,75.6756756756757,81.0810810810811,0.707,0.715,0.588,0.841,156.727,52342.65,21.67,3396,Norte,,,,,,,52.1
4301602.0,430160.0,BAGÉ,2012,127.725437415882,37.5504710632571,92.3956931359354,97.442799461642,89.2328398384926,97.1736204576043,95.2220726783311,0.74,0.739,0.647,0.848,4090.360,37432.95,28.83,117938,Sul,,27,,366,973,231,97.4
4301636.0,430163.0,BALNEÁRIO PINHAL,2012,73.2142857142857,9.82142857142857,24.1071428571429,109.821428571429,126.785714285714,125.892857142857,116.964285714286,0.696,0.71,0.567,0.836,102.387,22276.77,146.06,14955,Metropolitana,,3,,39,55,,99.1
4301651.0,430165.0,BARÃO,2012,136.363636363636,66.6666666666667,115.151515151515,100.0,112.121212121212,118.181818181818,112.121212121212,0.748,0.767,0.652,0.836,122.567,71646.97,51.79,6461,Metropolitana,,2,,18,30,8,64.5
4301701.0,430170.0,BARÃO DE COTEGIPE,2012,121.56862745098,60.7843137254902,94.1176470588235,103.921568627451,113.725490196078,103.921568627451,105.882352941176,0.719,0.745,0.593,0.842,260.505,45460.37,27.42,7144,Norte,,2,,29,29,11,73.7
4301750.0,430175.0,BARÃO DO TRIUNFO,2012,55.5555555555556,22.2222222222222,48.6111111111111,76.3888888888889,52.7777777777778,69.4444444444444,72.2222222222222,0.61,0.645,0.428,0.821,436.101,24188.7,13.50,5889,Metropolitana,,1,,23,30,,14.1
4301800.0,430180.0,BARRACÃO,2012,80.0,56.3636363636364,103.636363636364,105.454545454545,101.818181818182,100.0,109.090909090909,0.71,0.711,0.568,0.885,515.469,62102,9.37,4831,Norte,,2,,27,9,,64.0
4301859.0,430185.0,BARRA DO GUARITA,2012,140.0,54.2857142857143,77.1428571428571,117.142857142857,97.1428571428571,117.142857142857,105.714285714286,0.734,0.696,0.672,0.845,62.801,19953.25,50.33,3161,Norte,,1,,,22,,63.6
4301875.0,430187.0,BARRA DO QUARAÍ,2012,4.76190476190476,,69.0476190476191,90.4761904761905,11.9047619047619,47.6190476190476,57.1428571428571,0.662,0.659,0.548,0.802,1055.937,78422.54,4.02,4241,Centro-Oeste,,1,,7,17,,75.1
