ç
"Município","ibge","latitude","longitude","Especial Censo 2022/População/Situação do domicílio/Percentual de População Urbana 2022 (%)"
"São Martinho","4319109","-27,708929000000","-53,966923000000","69,2"
"São Martinho da Serra","4319125","-29,534851000000","-53,854226000000","38,8"
"São Miguel das Missões","4319158","-28,549537000000","-54,561563000000","59,0"
"São Nicolau","4319208","-28,182155000000","-55,260100000000","72,2"
"São Paulo das Missões","4319307","-28,020485000000","-54,934708000000","40,2"
"São Pedro da Serra","4319356","-29,421430000000","-51,514327000000","65,3"
"São Pedro das Missões","4319364","-27,771308000000","-53,247369000000","31,8"
"São Pedro do Butiá","4319372","-28,124354000000","-54,888256000000","51,4"
"São Pedro do Sul","4319406","-29,617531000000","-54,179991000000","75,5"
"São Sebastião do Caí","4319505","-29,592080000000","-51,376665000000","85,4"
"São Sepé","4319604","-30,167411000000","-53,569644000000","83,1"
"São Valentim","4319703","-27,554318000000","-52,528479000000","57,7"
"São Valentim do Sul","4319711","-29,051228000000","-51,769671000000","43,8"
"São Valério do Sul","4319737","-27,787718000000","-53,935526000000","20,4"
"São Vendelino","4319752","-29,375810000000","-51,368653000000","67,1"
"São Vicente do Sul","4319802","-29,692061000000","-54,676002000000","73,0"
"Sapiranga","4319901","-29,638554000000","-51,003623000000","96,5"
"Sapucaia do Sul","4320008","-29,824868000000","-51,151875000000","99,7"
"Sarandi","4320107","-27,943595000000","-52,925461000000","91,1"
"Seberi","4320206","-27,480414000000","-53,405467000000","59,1"
"Sede Nova","4320230","-27,631163000000","-53,955885000000","57,9"
"Segredo","4320263","-29,342618000000","-52,982074000000","31,6"
"Selbach","4320305","-28,627434000000","-52,956525000000","76,3"
"Senador Salgado Filho","4320321","-28,027490000000","-54,545403000000","39,3"
"Sentinela do Sul","4320354","-30,613303000000","-51,577982000000","26,0"
"Serafina Corrêa","4320404","-28,710797000000","-51,935709000000","88,8"
"Sério","4320453","-29,386760000000","-52,267456000000","32,4"
"Sertão","4320503","-27,980774000000","-52,259738000000","59,4"
"Sertão Santana","4320552","-30,465428000000","-51,604250000000","26,1"
"Sete de Setembro","4320578","-28,130416000000","-54,463686000000","31,1"
"Severiano de Almeida","4320602","-27,432793000000","-52,120656000000","46,4"
"Silveira Martins","4320651","-29,645250000000","-53,585237000000","48,2"
"Sinimbu","4320677","-29,529068000000","-52,521636000000","15,6"
"Sobradinho","4320701","-29,414773000000","-53,025168000000","82,6"
"Soledade","4320800","-28,827738000000","-52,509866000000","87,2"
"Tabaí","4320859","-29,687771000000","-51,727475000000","34,9"
"Tapejara","4320909","-28,084171000000","-52,022133000000","92,4"
"Tapera","4321006","-28,624950000000","-52,871467000000","86,9"
"Tapes","4321105","-30,673173000000","-51,394499000000","91,7"
"Taquara","4321204","-29,650513000000","-50,781169000000","82,4"
"Taquari","4321303","-29,802801000000","-51,862776000000","87,3"
"Taquaruçu do Sul","4321329","-27,398036000000","-53,466952000000","49,0"
"Tavares","4321352","-31,288703000000","-51,088843000000","68,2"
"Tenente Portela","4321402","-27,372167000000","-53,757270000000","67,7"
"Terra de Areia","4321436","-29,577549000000","-50,067249000000","83,6"
"Teutônia","4321451","-29,488914000000","-51,812817000000","89,9"
"Tio Hugo","4321469","-28,580496000000","-52,593046000000","55,1"
"Tiradentes do Sul","4321477","-27,396899000000","-54,085392000000","39,6"
"Toropi","4321493","-29,472142000000","-54,228011000000","32,7"
"Torres","4321501","-29,335931000000","-49,730404000000","96,9"
"Tramandaí","4321600","-29,987302000000","-50,130377000000","99,5"
"Travesseiro","4321626","-29,299086000000","-52,057777000000","41,4"
"Três Arroios","4321634","-27,499516000000","-52,149852000000","46,7"
"Três Cachoeiras","4321667","-29,445887000000","-49,915639000000","74,6"
"Três Coroas","4321709","-29,516661000000","-50,783126000000","87,9"
"Três de Maio","4321808","-27,779660000000","-54,235302000000","84,1"
"Três Forquilhas","4321832","-29,538111000000","-50,064316000000","17,8"
"Três Palmeiras","4321857","-27,617527000000","-52,843714000000","56,1"
"Três Passos","4321907","-27,456160000000","-53,929699000000","82,2"
"Trindade do Sul","4321956","-27,517576000000","-52,892231000000","63,1"
"Triunfo","4322004","-29,945204000000","-51,715313000000","64,6"
"Tucunduva","4322103","-27,650060000000","-54,433129000000","74,3"
"Tunas","4322152","-29,106440000000","-52,957013000000","35,4"
"Tupanci do Sul","4322186","-27,925711000000","-51,540539000000","40,2"
"Tupanciretã","4322202","-29,077480000000","-53,840630000000","83,8"
"Tupandi","4322251","-29,487913000000","-51,419825000000","73,0"
"Tuparendi","4322301","-27,754089000000","-54,478508000000","68,9"
"Turuçu","4322327","-31,412366000000","-52,171416000000","46,7"
"Ubiretama","4322343","-28,043565000000","-54,684511000000","26,8"
"União da Serra","4322350","-28,779899000000","-52,000417000000","26,8"
"Unistalda","4322376","-29,047485000000","-55,150781000000","43,9"
"Uruguaiana","4322400","-29,759823000000","-57,081825000000","94,9"
"Vacaria","4322509","-28,502354000000","-50,936599000000","92,9"
"Vale do Sol","4322533","-29,608828000000","-52,681355000000","14,1"
"Vale Real","4322541","-29,392281000000","-51,251197000000","90,3"
"Vale Verde","4322525","-29,782575000000","-52,179722000000","30,8"
"Vanini","4322558","-28,476223000000","-51,844658000000","65,5"
"Venâncio Aires","4322608","-29,611653000000","-52,191880000000","67,5"
"Vera Cruz","4322707","-29,719858000000","-52,501103000000","59,4"
"Veranópolis","4322806","-28,933957000000","-51,552287000000","86,6"
"Vespasiano Correa","4322855","-29,069894000000","-51,859470000000","28,7"
"Viadutos","4322905","-27,570953000000","-52,023799000000","60,6"
"Viamão","4323002","-30,081897000000","-51,024820000000","95,5"
"Vicente Dutra","4323101","-27,168445000000","-53,402129000000","51,4"
"Victor Graeff","4323200","-28,560185000000","-52,747792000000","56,9"
"Vila Flores","4323309","-28,863000000000","-51,549589000000","64,0"
"Vila Lângaro","4323358","-28,107405000000","-52,146903000000","30,4"
"Vila Maria","4323408","-28,533314000000","-52,163538000000","63,3"
"Vila Nova do Sul","4323457","-30,333959000000","-53,879196000000","60,3"
"Vista Alegre","4323507","-27,370084000000","-53,492410000000","49,5"
"Vista Alegre do Prata","4323606","-28,809472000000","-51,786208000000","34,2"
"Vista Gaúcha","4323705","-27,289978000000","-53,701320000000","41,5"
"Vitória das Missões","4323754","-28,352387000000","-54,499055000000","32,0"
"Westfália","4323770","-29,423450000000","-51,766156000000","55,0"
"Xangri-lá","4323804","-29,805378000000","-50,039081000000","99,8"
